State,Year,State-Year,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Adult smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,Primary Care Physicians Rate,Mental Health Provider Rate,% With Annual Mammogram,% Flu Vaccinated,% Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,Life Expectancy,% Adults with Diabetes,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,Median Household Income,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural
Alabama,2020,Alabama2020,"82,249.00","9,819.89",21.38,4.42,4.89,10.32,19.99,36.10,5.50,29.30,61.11,14.89,26.87,11.88,65.20,108.30,40.00,43.00,3.00,21.90,9.20,13.88,75.55,14.50,7.92,16.21,39.63,51771,22.20,17.33,26.47,0.71,1.50,0.10,4.55,65.28,51.67,40.96
Alaska,2020,Alaska2020,"8,292.00","7,979.48",15.57,4.06,3.72,5.95,18.55,31.90,6.40,19.30,100.00,17.61,37.87,13.91,93.57,499.63,35.00,36.00,6.14,13.20,6.45,20.49,79.03,8.30,9.15,17.61,33.31,77203,24.60,12.52,3.31,15.58,6.53,1.44,7.27,60.16,47.86,33.98
Arizona,2020,Arizona2020,"81,638.00","7,101.69",18.62,4.19,4.03,7.25,14.49,27.90,6.80,21.20,85.14,18.13,24.68,12.80,65.65,140.19,40.00,45.00,4.70,19.20,6.30,18.02,79.99,9.60,7.54,23.80,34.89,62027,22.53,17.98,4.48,5.30,3.69,0.28,31.74,54.13,50.30,10.19
Arkansas,2020,Arkansas2020,"48,253.00","9,337.34",23.27,4.82,5.28,9.07,23.71,35.00,5.10,30.40,63.53,17.25,26.16,9.61,66.36,236.36,38.00,48.00,3.55,21.70,9.10,14.05,76.05,13.50,8.74,14.14,37.23,49020,23.20,17.36,15.42,1.02,1.67,0.39,7.84,72.03,50.90,43.84
California,2020,California2020,"350,612.00","5,253.06",17.61,3.86,3.73,6.88,11.47,24.30,8.80,17.70,93.07,18.13,28.74,8.34,79.78,373.39,36.00,43.00,4.04,15.60,8.10,26.44,81.68,8.80,3.29,13.84,34.52,80423,22.51,14.78,5.62,1.64,15.47,0.51,39.42,36.50,50.28,5.05
Colorado,2020,Colorado2020,"53,905.00","5,943.02",13.79,3.29,3.71,9.06,14.67,22.40,8.40,14.80,90.46,21.28,33.65,8.77,82.56,371.96,41.00,49.00,2.75,11.20,4.90,16.37,80.61,6.60,5.46,18.11,30.00,77104,21.87,14.63,4.06,1.61,3.52,0.20,21.83,67.66,49.62,13.85
Connecticut,2020,Connecticut2020,"35,724.00","5,748.12",12.99,3.30,3.79,7.80,12.54,26.30,8.20,19.90,94.02,20.47,31.55,6.21,84.50,413.29,46.00,56.00,3.73,13.50,7.20,17.80,80.87,9.20,4.34,31.28,33.85,78920,20.40,17.68,10.35,0.58,4.95,0.11,16.86,65.92,51.21,12.01
Delaware,2020,Delaware2020,"12,857.00","7,938.04",16.27,3.70,4.16,8.89,17.45,32.40,7.80,27.30,86.47,19.81,25.98,6.78,74.96,282.20,48.00,56.00,3.78,16.30,7.30,14.33,78.47,11.80,4.67,40.44,36.55,70348,20.91,19.40,22.04,0.67,4.09,0.11,9.59,61.65,51.65,16.70
District of Columbia,2020,District of Columbia2020,"8,280.00","7,955.66",14.69,3.28,4.17,9.96,15.38,24.00,8.50,17.40,100.00,23.45,28.15,3.55,117.59,514.49,34.00,41.00,5.49,20.80,10.30,20.94,79.02,8.10,0.79,41.62,36.47,90395,18.16,12.38,44.39,0.59,4.46,0.13,11.26,37.46,52.57,0.00
Florida,2020,Florida2020,"266,657.00","7,187.87",19.51,4.01,4.16,8.68,14.89,27.20,6.90,25.80,88.74,19.73,22.26,16.14,72.22,169.02,43.00,46.00,3.10,18.20,7.70,19.51,80.17,10.80,7.17,23.61,37.32,59198,19.69,20.94,15.53,0.51,2.96,0.11,26.37,53.25,51.13,8.84
Georgia,2020,Georgia2020,"133,085.00","7,616.11",18.42,3.95,4.18,9.74,16.34,32.30,6.50,26.40,75.49,16.81,20.26,15.90,66.30,144.77,41.00,46.00,3.42,19.50,9.60,16.34,77.94,12.00,9.04,13.78,38.28,61950,23.58,14.29,31.64,0.53,4.37,0.12,9.88,52.02,51.40,24.93
