State,Year,State_Year,Gender,Leading_Cancer_Sites,Incidence_Counts,Incidence_Age_Adjusted_Rate,Death_Counts,Mortality_Age_Adjusted_Rate,Mortality_Incidence_Age_Adjusted_Rate_Ratio,Population,%_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,%_Low_birthweight,%_Adult_smoking,%_Adults_with_Obesity,%_Physically_Inactive,%_Excessive_Drinking,%_Uninsured,Primary_Care_Physicians_Rate,Mental_Health_Provider_Rate,%_With_Annual_Mammogram,%_Unemployed,%_Children_in_Poverty,Average_Daily_PM2.5,%_Severe_Housing_Problems,%_Adults_with_Diabetes,Median_Household_Income,%_Less_Than_18_Years_of_Age,%_65_and_Over,%_Black,%_American_Indian_&_Alaska_Native,%_Asian,%_Native_Hawaiian/Other_Pacific_Islander,%_Hispanic,%_Non_Hispanic_White,%_Female,%_Rural,Region
Alabama,2010,Alabama2010,Male,Prostate,3872,151.08,544,27.67,0.183,2323013,22.66,4.63,4.26,10.23,23.37,33.62,32.8,10.45,17.64,49.16,19.8,60.94,12.07,26.43,3.27,28.4,13.06,37179,23.7,15.01,28.46,0.63,0.51,0.02,2.91,67.47,51.42,69.98,South
Alabama,2011,Alabama2011,Male,Prostate,3817,146.45,544,26.61,0.182,2328518,22.66,4.65,4.29,10.35,22.76,35.13,33.18,10.54,17.14,49.16,7.16,62.95,11.2,31.99,3.27,27.41,13.9,36340,23.7,15.01,28.46,0.63,0.51,0.02,2.91,67.47,51.42,69.98,South
Alabama,2012,Alabama2012,Male,Prostate,3412,127.56,461,22.07,0.173,2336196,22.53,4.52,4.22,10.55,22.09,35.09,33.14,10.95,17.55,42.61,10.91,62.74,10.46,31.75,12.87,28.32,13.88,36508,23.17,15.38,28.29,0.78,0.65,0.11,3.38,65.86,51.3,66.7,South
Alabama,2013,Alabama2013,Male,Prostate,3318,120.95,470,22.13,0.183,2343135,23.28,4.66,4.44,10.55,22.43,35.08,33.55,11.68,17.42,42.93,35.21,60.53,8.57,32.15,12.79,14.47,14.08,37055,22.95,16.03,28.31,0.78,0.65,0.11,3.32,65.89,51.31,67.09,South
Alabama,2014,Alabama2014,Male,Prostate,3103,109.17,467,21.3,0.195,2348012,23.28,4.66,4.44,10.58,22.43,35.29,31.79,11.68,16.49,42.86,43.65,60.65,7.67,32.55,12.79,15.13,14.48,38019,22.56,16.49,28.28,0.79,0.72,0.11,3.47,65.6,51.24,67.09,South
Alabama,2015,Alabama2015,Male,Prostate,3499,121.77,495,21.77,0.179,2352806,23.54,4.94,4.79,10.56,20.84,35.44,31.33,12.76,16.57,43.6,46.73,61.06,7.97,31.21,12.79,15.26,13.85,38563,22.38,16.94,28.35,0.8,0.73,0.11,3.54,65.39,51.26,67.09,South
Alabama,2016,Alabama2016,Male,Prostate,3679,124.88,512,21.43,0.172,2357211,22.43,4.66,4.59,10.55,20.12,36.13,29.98,12.81,15.02,45.45,50.49,60.76,7.04,31.63,10.33,15.41,15.49,39830,22.23,17.36,28.36,0.81,0.78,0.11,3.61,65.22,51.27,67.09,South
Alabama,2017,Alabama2017,Male,Prostate,3955,131.48,464,19.24,0.146,2360503,22.97,4.72,4.71,10.54,20.64,36.91,31.02,14.43,12.56,45.87,52.5,60.76,30.16,10.33,15.19,15.19,15.36,40636,22.1,17.81,28.35,0.82,0.8,0.11,3.64,65.12,51.27,67.09,South
Alabama,2018,Alabama2018,Male,Prostate,3783,123.57,525,21.05,0.17,2365445,22.97,4.72,4.71,10.57,20.64,37.41,30.48,14.43,11.47,46.28,56.42,40.49,5.04,29.11,11.09,14.57,15.58,42404,21.94,18.18,28.4,0.83,0.81,0.12,3.76,64.9,51.32,67.09,South
Alabama,2019,Alabama2019,Male,Prostate,3765,119.42,507,19.45,0.163,2371832,22.03,4.92,4.94,10.25,20.93,35.5,29.8,13.9,11.04,64.82,101.23,40.0,3.93,23.9,11.0,14.34,14.2,49881,22.3,16.92,26.5,0.7,1.5,0.11,4.44,65.41,51.63,40.96,South
Alabama,2020,Alabama2020,Male,Prostate,3283,103.35,534,20.03,0.194,2376966,21.38,4.42,4.89,10.32,19.99,36.1,29.3,14.89,11.88,65.2,108.3,40.0,3.0,21.9,9.2,13.88,14.5,51771,22.2,17.33,26.47,0.71,1.5,0.1,4.55,65.28,51.67,40.96,South
Alaska,2010,Alaska2010,Male,Prostate,394,127.2,43,23.93,0.188,371634,15.59,3.26,2.69,5.58,28.75,30.84,24.82,19.49,24.9,71.97,30.81,61.75,10.07,16.59,8.565506445672192,25.37,6.47,56341,25.81,8.04,1.34,35.73,5.1,0.37,5.03,52.43,46.21,70.56,West
Alaska,2011,Alaska2011,Male,Prostate,348,101.03,39,20.7,0.205,375929,15.46,3.32,2.74,5.59,28.14,31.07,24.93,19.23,28.02,92.54,12.01,58.81,9.89,19.11,8.565506445672192,22.72,6.74,53086,25.81,8.04,1.34,35.73,5.1,0.37,5.03,52.43,46.21,70.56,West
Alaska,2012,Alaska2012,Male,Prostate,314,94.29,35,17.96,0.19,381032,15.13,3.47,2.63,5.61,27.15,30.96,24.86,20.16,26.95,84.95,23.86,57.24,9.92,18.16,8.565506445672192,23.2,6.73,56031,25.63,8.64,1.5,32.81,5.41,0.54,4.21,49.35,45.92,73.3,West
Alaska,2013,Alaska2013,Male,Prostate,283,81.67,39,17.51,0.214,385939,14.96,3.43,2.6,5.55,27.37,30.07,24.19,21.27,27.79,81.5,203.58,54.39,9.77,18.73,8.565506445672192,27.45,7.34,56067,25.25,9.15,1.33,33.87,5.48,0.54,4.04,48.62,45.76,74.75,West
Alaska,2014,Alaska2014,Male,Prostate,278,82.1,53,23.07,0.281,385994,14.96,3.43,2.6,5.53,27.37,30.5,22.67,21.27,27.93,78.97,290.66,55.05,9.34,18.5,8.565506445672192,27.69,7.16,58423,25.16,9.6,1.57,33.27,5.74,0.57,4.72,48.03,45.57,74.75,West
